[MASTER] 21:04:24.765 [TEST_EXECUTION_THREAD_0] ERROR AbstractStatement - Error assigning value of type FileAttribute[] defined at statement FileAttribute<DatagramChannel>[] fileAttributeArray0 = (FileAttribute<DatagramChannel>[]) Array.newInstance(FileAttribute.class, 9), assignment statement: fileAttributeArray0[0] = (FileAttribute<DatagramChannel>) fileAttributeArray0; SUT=org.asynchttpclient.request.body.multipart.part.MultipartPart
[MASTER] 21:04:24.790 [TEST_EXECUTION_THREAD_0] ERROR AbstractStatement - Error assigning value of type FileAttribute[] defined at statement FileAttribute<DatagramChannel>[] fileAttributeArray0 = (FileAttribute<DatagramChannel>[]) Array.newInstance(FileAttribute.class, 9), assignment statement: fileAttributeArray0[0] = (FileAttribute<DatagramChannel>) fileAttributeArray0; SUT=org.asynchttpclient.request.body.multipart.part.MultipartPart
[MASTER] 21:04:24.827 [TEST_EXECUTION_THREAD_0] ERROR AbstractStatement - Error assigning value of type FileAttribute[] defined at statement FileAttribute<DatagramChannel>[] fileAttributeArray0 = (FileAttribute<DatagramChannel>[]) Array.newInstance(FileAttribute.class, 9), assignment statement: fileAttributeArray0[0] = (FileAttribute<DatagramChannel>) fileAttributeArray0; SUT=org.asynchttpclient.request.body.multipart.part.MultipartPart
[MASTER] 21:04:24.897 [TEST_EXECUTION_THREAD_0] ERROR AbstractStatement - Error assigning value of type FileAttribute[] defined at statement FileAttribute<DatagramChannel>[] fileAttributeArray0 = (FileAttribute<DatagramChannel>[]) Array.newInstance(FileAttribute.class, 9), assignment statement: fileAttributeArray0[0] = (FileAttribute<DatagramChannel>) fileAttributeArray0; SUT=org.asynchttpclient.request.body.multipart.part.MultipartPart
[MASTER] 21:04:25.276 [TEST_EXECUTION_THREAD_0] ERROR AbstractStatement - Error assigning value of type FileAttribute[] defined at statement FileAttribute<DatagramChannel>[] fileAttributeArray0 = (FileAttribute<DatagramChannel>[]) Array.newInstance(FileAttribute.class, 9), assignment statement: fileAttributeArray0[0] = (FileAttribute<DatagramChannel>) fileAttributeArray0; SUT=org.asynchttpclient.request.body.multipart.part.MultipartPart
[MASTER] 21:04:25.303 [TEST_EXECUTION_THREAD_0] ERROR AbstractStatement - Error assigning value of type FileAttribute[] defined at statement FileAttribute<DatagramChannel>[] fileAttributeArray0 = (FileAttribute<DatagramChannel>[]) Array.newInstance(FileAttribute.class, 9), assignment statement: fileAttributeArray0[0] = (FileAttribute<DatagramChannel>) fileAttributeArray0; SUT=org.asynchttpclient.request.body.multipart.part.MultipartPart
[MASTER] 21:04:25.408 [TEST_EXECUTION_THREAD_0] ERROR AbstractStatement - Error assigning value of type FileAttribute[] defined at statement FileAttribute<DatagramChannel>[] fileAttributeArray0 = (FileAttribute<DatagramChannel>[]) Array.newInstance(FileAttribute.class, 9), assignment statement: fileAttributeArray0[0] = (FileAttribute<DatagramChannel>) fileAttributeArray0; SUT=org.asynchttpclient.request.body.multipart.part.MultipartPart
[MASTER] 21:04:25.440 [TEST_EXECUTION_THREAD_0] ERROR AbstractStatement - Error assigning value of type FileAttribute[] defined at statement FileAttribute<DatagramChannel>[] fileAttributeArray0 = (FileAttribute<DatagramChannel>[]) Array.newInstance(FileAttribute.class, 9), assignment statement: fileAttributeArray0[0] = (FileAttribute<DatagramChannel>) fileAttributeArray0; SUT=org.asynchttpclient.request.body.multipart.part.MultipartPart
[MASTER] 21:04:25.587 [TEST_EXECUTION_THREAD_0] ERROR AbstractStatement - Error assigning value of type FileAttribute[] defined at statement FileAttribute<DatagramChannel>[] fileAttributeArray0 = (FileAttribute<DatagramChannel>[]) Array.newInstance(FileAttribute.class, 9), assignment statement: fileAttributeArray0[0] = (FileAttribute<DatagramChannel>) fileAttributeArray0; SUT=org.asynchttpclient.request.body.multipart.part.MultipartPart
[MASTER] 21:04:26.167 [TEST_EXECUTION_THREAD_0] ERROR AbstractStatement - Error assigning value of type FileAttribute[] defined at statement FileAttribute<DatagramChannel>[] fileAttributeArray0 = (FileAttribute<DatagramChannel>[]) Array.newInstance(FileAttribute.class, 9), assignment statement: fileAttributeArray0[0] = (FileAttribute<DatagramChannel>) fileAttributeArray0; SUT=org.asynchttpclient.request.body.multipart.part.MultipartPart
